;AAL;ACB;AMD;BA;GD;GOOG;LMT;MU;NOC;NRT;RTN;USO;ZN;^GSPC;Words
78;1,84393;3,61762;2,63862;1,4971;1,0343;1,13433;0,99815;2,25706;1,20493;1,60895;1,05937;1,37706;4,20755;0,68858;today
79;1,73582;3,99799;2,46669;1,35225;0,96933;1,06272;0,89883;2,31711;1,14404;1,58778;1,00233;1,47837;4,12739;0,60615;one
80;1,84558;3,67382;2,63195;1,36921;0,97566;1,11502;0,89649;2,37656;1,13598;1,62385;1,04923;1,42178;4,95061;0,63182;years
81;1,75422;3,71335;2,36071;1,47275;1,02014;1,1701;0,93905;2,18359;1,1981;1,56905;1,0341;1,36138;5,12104;0,65645;american
82;1,7319;3,66679;2,55482;1,46978;0,99862;1,17904;0,9245;2,38373;1,1566;1,5753;1,04937;1,42712;4,8136;0,68223;much
83;1,81272;3,45128;2,57554;1,39;0,98566;1,11092;0,9099;2,30603;1,12366;1,50848;0,99578;1,4246;4,54515;0,64046;good
84;1,63139;4,06554;2,36581;1,37906;0,93111;0,98978;0,84803;2,21435;0,97142;1,51551;0,94047;1,2435;4,71732;0,57854;your
85;1,7466;3,7713;2,80717;1,47584;0,97183;1,09422;0,85841;2,29185;1,06598;1,60101;1,06811;1,34784;4,48131;0,68806;when
86;1,83351;3,43576;2,56136;1,49008;1,04759;1,17828;0,92316;2,14748;1,20096;1,46512;1,0436;1,42788;4,70831;0,68961;united
87;1,62031;3,66084;2,49028;1,41589;0,90472;1,12441;0,84835;2,13907;1,08373;1,69292;0,9778;1,25172;4,05596;0,61605;media
88;1,71379;3,86008;2,47926;1,42732;1,05313;1,02678;0,9774;2,10564;1,2246;1,54338;1,04682;1,42501;4,23954;0,63089;america
89;1,81877;3,70461;2,34999;1,4165;0,98743;1,07437;0,84738;2,09496;1,07604;1,5588;0,93396;1,4814;5,97928;0,6189;house
90;1,79446;3,39184;2,30208;1,40773;0,99356;1,0506;0,92424;2,04746;1,09846;1,63625;1,08344;1,40571;4,38096;0,59328;even
91;1,69089;3,89574;2,48558;1,32593;0,97064;1,07905;0,9073;2,20561;1,10906;1,60386;1,07991;1,34859;4,80702;0,58246;done
92;1,9004;3,43566;2,49852;1,44498;1,10297;1,16532;1,03274;2,26644;1,22132;1,58566;1,11897;1,45711;4,12523;0,64947;being
93;1,83342;3,36022;2,61668;1,39721;1,01576;1,11928;0,96332;2,34094;1,13491;1,52782;1,08953;1,47668;4,60109;0,71023;other
94;1,62124;3,82744;1,8131;1,25377;0,83455;0,90617;0,82922;1,99445;1,1522;1,45141;0,84093;1,02178;8,07508;0,44196;impeachment
95;1,66251;3,77613;2,69236;1,46117;1,0359;1,159;0,93499;2,23787;1,12015;1,64735;1,06354;1,41943;4,16733;0,62637;doing
96;1,84798;3,91905;2,31596;1,35943;1,00648;1,12464;0,88631;2,04205;1,1842;1,60285;1,06428;1,40945;5,34624;0,62478;which
97;1,85016;3,46243;2,65462;1,50321;1,08053;1,20726;0,92249;2,17773;1,21955;1,50932;1,04487;1,42871;4,54953;0,70483;states
98;1,68687;3,74157;2,47494;1,31157;0,87766;1,05153;0,81523;2,19027;1,01174;1,63463;0,97338;1,4116;5,75288;0,59452;nothing
99;1,83048;3,97076;2,6392;1,46588;1,00789;0,9855;0,96397;2,1469;1,16697;1,64723;1,09124;1,48977;5,79111;0,62609;were
100;1,76452;3,49707;2,46182;1,27242;0,99896;0,99462;0,93714;2,31952;1,17169;1,70098;0,98473;1,48817;5,25697;0,62495;donï¿½t
101;1,8236;3,82747;2,59961;1,43576;1,03374;1,1706;1,00269;2,25212;1,17749;1,70387;1,07732;1,37608;4,45506;0,67918;only
102;1,76607;3,90716;2,80242;1,47837;1,05003;1,07843;0,97329;2,23342;1,18624;1,45727;1,08648;1,37142;4,67353;0,64524;them
103;1,68111;3,28551;2,56945;1,34028;0,93984;1,09395;0,85079;2,1995;1,09392;1,61955;0,98743;1,39405;4,65789;0,63608;back
104;1,74643;3,71972;2,41566;1,38412;0,95119;1,05539;0,93179;2,3865;1,0888;1,55305;0,97711;1,44409;4,5725;0,66036;like
105;1,88238;3,74072;2,48608;1,38536;1,01883;1,1192;0,92226;2,20433;1,16914;1,64952;1,0056;1,56932;5,44798;0,64465;over
106;1,76479;3,66959;2,56593;1,43651;1,05173;1,18987;0,9519;2,31461;1,18971;1,49683;1,08048;1,37228;4,97132;0,65099;must
107;1,72368;3,46006;2,78593;1,54186;1,04184;1,16982;0,95503;2,39597;1,2578;1,70626;1,04245;1,47678;3,44778;0,73098;china
108;1,70459;3,59469;2,45463;1,45614;1,0461;1,18747;0,91828;2,10294;1,09559;1,59385;1,02209;1,37336;5,45937;0,66922;because
109;1,75177;4,31894;2,31432;1,36415;0,86674;1,1085;0,85045;2,32738;1,05888;1,53325;0,94426;1,38921;5,7346;0,60319;had
110;1,69974;4,35366;2,73076;1,49462;1,0953;1,10045;1,02575;2,07658;1,31789;1,48675;1,11175;1,32372;4,82584;0,66479;vote
111;1,72056;3,99012;2,487;1,42765;0,97949;1,0872;0,98287;2,3008;1,20661;1,54099;0,97371;1,35486;5,67226;0,59184;going
112;1,87366;3,67948;2,5559;1,56205;1,01449;1,20779;0,95495;2,22796;1,06294;1,52699;1,08265;1,47552;4,76665;0,68076;can
113;1,85542;3,70206;2,53141;1,3712;1,06579;1,12768;0,91757;2,1202;1,11908;1,73636;1,0098;1,42633;4,20024;0,69293;make
114;1,78446;3,85783;2,49681;1,38746;0,98036;1,10547;0,89679;2,19543;1,07112;1,64943;1,03141;1,34179;4,33269;0,63462;job
115;1,66565;3,81741;2,5122;1,44278;1,09403;0,99905;1,0137;2,27825;1,23134;1,63105;1,12039;1,3802;4,8272;0,55728;dems
116;1,6391;4,11857;2,73919;1,3776;0,93755;1,18894;0,8095;2,12456;0,97868;1,52975;0,97975;1,23069;4,85565;0,61266;state
117;1,86907;4,04435;2,57378;1,41132;1,04002;1,29351;0,9886;2,39922;1,12473;1,73679;1,04562;1,43216;4,94616;0,74522;into
118;1,6689;3,74104;2,29742;1,36037;0,90247;1,07072;0,86071;2,03993;0,97378;1,58294;0,9082;1,45344;5,61309;0,59913;whitehouse
119;1,94415;3,50066;2,71872;1,42358;1,07421;1,14988;0,91092;2,40721;1,13272;1,48859;1,00093;1,52416;4,31789;0,70229;trade
120;1,71434;3,49735;2,54752;1,40087;1,04951;0,99065;0,83412;1,98089;1,12809;1,65086;1,07149;1,37514;6,08041;0,5667;after
121;1,74204;3,28216;2,50703;1,38981;1,14125;1,22232;0,90957;2,25292;1,18155;1,61657;1,13469;1,32758;3,92919;0,65424;deal
122;1,83935;3,84374;2,72136;1,38311;1,05753;1,12845;0,94394;2,35724;1,12179;1,43888;1,08227;1,45797;5,51667;0,62933;military
123;1,7726;3,67157;2,76612;1,41829;0,98861;1,24785;1,00216;2,36839;1,13423;1,51825;1,08166;1,62107;4,34383;0,75828;am
124;1,72908;4,16203;2,11438;1,37528;0,83443;1,05629;0,79716;2,07798;1,01355;1,53622;0,94688;1,27261;5,90581;0,58442;said
125;1,7979;3,8868;2,60809;1,47989;0,98855;1,01182;0,89192;2,12359;1,04211;1,62374;0,98902;1,37852;5,56594;0,56554;made
126;1,6905;3,54777;2,49527;1,38062;1,02301;1,05236;0,90333;2,04379;1,13479;1,58954;0,99507;1,42584;4,65844;0,63012;again
127;1,69221;3,91879;2,54223;1,30435;0,92481;1,04849;0,87711;2,17407;1,11041;1,48879;1,02406;1,2935;4,50188;0,55635;first
128;1,66789;3,93408;2,41386;1,35867;0,89286;1,10652;0,83938;2,18319;1,06373;1,75925;0,95608;1,26954;4,49313;0,59858;bad
129;1,82719;3,74841;2,52382;1,36997;0,99513;1,101;0,89185;2,24963;1,07245;1,5346;0,99641;1,23248;5,80645;0,59602;crime
130;1,53208;3,93046;2,60147;1,32991;0,92302;1,12019;0,90411;2,10165;1,05455;1,59164;1,03728;1,42206;4,56432;0,60648;him
131;1,71498;3,96175;2,59435;1,46049;0,91854;1,00187;0,89349;2,18541;1,11247;1,58399;0,9922;1,30261;4,80965;0,55679;day
132;1,61671;3,60458;2,37623;1,3157;0,91258;0,91305;0,91543;1,91338;1,14451;1,6046;0,96306;1,48142;4,4268;0,48745;witch
133;1,64121;4,03193;2,27449;1,24323;0,87232;1,11759;0,75515;2,03324;0,98102;1,56997;0,84996;1,37738;5,87008;0,54818;did
134;1,90716;3,7852;2,58027;1,62919;1,00006;1,14483;1,02755;2,30831;1,34674;1,57433;1,19019;1,35358;4,41464;0,71343;wall
135;1,89267;3,95648;2,43954;1,31846;0,98843;1,00107;0,88139;2,28677;1,17574;1,51915;1,09044;1,36851;6,39711;0,61007;why
136;1,64681;3,63089;2,33658;1,30856;0,88916;1,06094;0,8574;1,99528;1,03973;1,4698;0,94518;1,26835;4,68324;0,55376;ever
